mutation	cnv	methylation	gene_expression	cnv+mutation+methylation	cnv+mutation+gene_expression	cnv+gene_expression+methylation	gene_expression+mutation+methylation	cnv+gene_expression+mutation+methylation
0.666231215	0.578986466	0.661183119	0.581726015	0.638841808	0.618815422	0.666032195	0.649296701	0.598974943
0.635888994	0.655386627	0.62704742	0.594547629	0.603606164	0.658572137	0.666058421	0.610066473	0.695434272
0.698376298	0.661816537	0.666940272	0.623527706	0.645271897	0.677079797	0.672122657	0.593277514	0.736927748
0.654264569	0.62629205	0.651493609	0.656137049	0.736087322	0.717903733	0.586115539	0.615274191	0.598802388
0.657077253	0.593311906	0.69832927	0.594608486	0.643994927	0.586663246	0.611342788	0.656656682	0.649146318
