oncology,mRNA,dna
0,0.470353098,0.25
0,0.598267821,0.25
0,0.662162388,0.25
0,0.798134577,0.25
0,2.285143238,0.25
0,0.54230513,0.26
0,0.750166556,0.26
0,1.675332911,0.27
0,0.598267821,0.28
0,0.699533644,0.28
0,0.712858095,0.28
0,0.733760293,0.28
0,0.748019959,0.28
0,1.100470958,0.28
0,0.384615385,0.29
0,0.52,0.29
0,0.660567246,0.29
0,0.822118588,0.29
0,0.614006515,0.3
0,0.61237785,0.32
0,1.212524983,0.32
0,0.573289902,0.33
0,0.784995425,0.33
0,0.820786143,0.33
0,1.09946056,0.33
0,0.798045603,0.34
0,0.656907594,0.35
0,0.732899023,0.36
0,0.918311817,0.36
0,0.439739414,0.38
0,0.648900733,0.38
0,0.950033311,0.38
0,0.767488341,0.39
0,0.652898068,0.4
0,0.92,0.4
0,0.786142572,0.41
0,0.465411178,0.42
0,0.574283811,0.42
0,0.747501666,0.43
0,0.486970684,0.44
0,0.958027981,0.44
0,0.627581612,0.45
0,0.569075938,0.46
0,0.767100977,0.47
0,0.591605596,0.48
0,0.643322476,0.48
0,0.731930467,0.48
0,0.863192182,0.5
0,0.669381107,0.51
0,0.597362586,0.53
0,0.764867338,0.53
0,0.407166124,0.54
0,0.191151427,0.55
0,0.600932712,0.55
0,0.627581612,0.55
0,0.630431507,0.55
0,0.798045603,0.55
0,0.867421719,0.55
0,0.892738175,0.55
0,0.346991972,0.56
0,0.686209194,0.56
0,0.59,0.6
0,0.611592272,0.61
0,0.757548033,0.61
0,0.346938776,0.62
0,0.599600266,0.62
0,0.761207685,0.62
0,0.5,0.63
0,0.809446254,0.63
0,0.866449511,0.63
0,0.866449511,0.63
0,0.653094463,0.64
0,0.798045603,0.64
0,0.600977199,0.65
0,0.646757422,0.65
0,0.798045603,0.65
0,2.500670854,0.65
0,0.087704456,0.66
0,0.56095936,0.67
0,0.7,0.67
0,0.83989021,0.71
0,0.866089274,0.71
0,0.863192182,0.72
0,0.877850163,0.72
0,0.493004664,0.73
0,0.649837134,0.73
0,0.69218241,0.73
0,3.096091205,0.73
0,0.435709527,0.75
0,0.470353098,0.75
0,0.55829447,0.75
0,0.648208469,0.78
0,0.798045603,0.81
0,0.830618893,0.81
0,0.688014639,0.82
0,0.733760293,0.82
0,0.157853506,0.83
0,0.717291857,0.84
0,0.732899023,0.84
0,0.806188925,0.84
0,0.82722158,0.84
0,0.842019544,0.84
0,0.890073284,0.84
0,2.274483678,0.84
0,0.125493514,0.85
0,0.308984474,0.85
0,1.479013991,0.85
0,0.592938041,0.88
0,0.90473018,0.88
0,0.928338762,0.88
0,0.747557003,0.9
0,0.53164557,0.91
0,0.812791472,0.91
0,0.728270814,0.92
0,0.747557003,0.92
0,0.546302465,0.93
0,0.614821592,0.93
0,0.863192182,0.95
0,0.728270814,1.18
0,3.42019544,1.52
0,0.58,1.55
0,1.128728414,1.57
0,0.723127036,1.58
0,2.54497002,1.68
0,1.2,1.72
0,11.48208469,1.86
0,2.773615635,2.15
0,0.528039365,2.25
0,0.73010064,2.25
0,3.494967978,2.25
0,2.986009327,2.45
0,0.373648907,2.52
0,0.571972099,2.58
0,0.32967033,2.8
0,1.64495114,2.94
0,0.52898068,3.32
0,0.651418115,3.32
0,0.36,3.34
0,0.602265157,3.36
0,2.070032573,3.36
0,1.898532281,3.53
0,0.750196748,3.56
0,0.554297135,3.63
0,8.674217189,3.65
0,0.449511401,3.96
0,0.689844465,4.25
0,0.908948195,4.61
0,0.578225069,5.25
0,2.999949766,5.25
0,0.360007368,5.26
0,0.850099933,5.58
0,8.050632911,5.61
0,0.384364821,5.68
0,0.832247557,5.75
0,2.811459027,5.87
0,0.809446254,6.36
0,0.590266876,6.79
0,0.768729642,7.61
